disp_event;species;feed_datetime;feed_x;feed_y;id_feedtree;def_datetime;def_x;def_y;id_feces;n_seeds;SDD;gut_transit_time;gut_transit_time_hms;id_month;group;GTT
SDApr82;Diospyros inconstans;18/04/2019 14:58;782061.3873;7407522.575;AG82;19/04/2019 07:30;781855.2188;7407551.245;FGA79;1;208.1538801;992;16:32:00;Apr;Guareí;16:32:00
SDApr83;Celtis iguanaea;19/04/2019 09:30;781867.1676;7407897.266;AG125;19/04/2019 11:20;781781.7872;7407914.86;FGA80;3;87.17311799;110;01:50:00;Apr;Guareí;01:50:00
SDApr84;Celtis iguanaea;19/04/2019 11:55;781767.023;7407998.595;AG126;19/04/2019 13:18;781653.7636;7408114.481;FGA81;9;162.037039;83;01:23:00;Apr;Guareí;01:23:00
SDApr85;Celtis iguanaea;19/04/2019 10:23;781867.1676;7407897.266;AG125;19/04/2019 11:36;781781.5973;7407942.121;FGA82;2;96.61132128;73;01:13:00;Apr;Guareí;01:13:00
SDApr86;Celtis iguanaea;19/04/2019 10:23;781867.1676;7407897.266;AG125;19/04/2019 11:02;781842.9985;7407890.519;FGA83;1;25.09484808;39;00:39:00;Apr;Guareí;00:39:00
SDApr87;Celtis iguanaea;19/04/2019 09:30;781867.1676;7407897.266;AG125;19/04/2019 10:56;781851.4969;7407896.451;FGA84;1;15.69144034;86;01:26:00;Apr;Guareí;01:26:00
SDApr88;Celtis iguanaea;19/04/2019 09:30;781867.1676;7407897.266;AG125;19/04/2019 11:00;781842.9985;7407890.519;FGA85;10;25.09484808;90;01:30:00;Apr;Guareí;01:30:00
SDApr89;Annona emarginata;19/04/2019 12:51;781662.502;7408068.867;AG104;19/04/2019 14:11;781641.3578;7408155.725;FGA86;1;89.3858048;80;01:20:00;Apr;Guareí;01:20:00
SDApr90;Celtis iguanaea;19/04/2019 09:30;781867.1676;7407897.266;AG125;19/04/2019 11:10;781810.2634;7407885.052;FGA87;6;58.20718598;100;01:40:00;Apr;Guareí;01:40:00
SDApr91;Celtis iguanaea;19/04/2019 09:30;781867.1676;7407897.266;AG125;19/04/2019 10:13;781867.1676;7407897.266;FGA88;3;0;43;00:43:00;Apr;Guareí;00:43:00
SDApr92;Annona emarginata;19/04/2019 12:51;781662.502;7408068.867;AG104;19/04/2019 13:57;781647.1552;7408116.819;FGA89;1;50.34399766;66;01:06:00;Apr;Guareí;01:06:00
SDApr93;Celtis iguanaea;19/04/2019 12:03;781767.023;7407998.595;AG126;19/04/2019 13:57;781647.1552;7408116.819;FGA89;2;168.3519765;114;01:54:00;Apr;Guareí;01:54:00
SDApr94;Celtis iguanaea;19/04/2019 10:23;781867.1676;7407897.266;AG125;19/04/2019 11:19;781805.0824;7407897.451;FGA90;1;62.09026091;56;00:56:00;Apr;Guareí;00:56:00
SDApr95;Celtis iguanaea;19/04/2019 12:03;781767.023;7407998.595;AG126;19/04/2019 13:09;781656.8669;7408089.813;FGA91;2;143.0114911;66;01:06:00;Apr;Guareí;01:06:00
SDApr96;Celtis iguanaea;19/04/2019 10:23;781867.1676;7407897.266;AG125;19/04/2019 12:04;781756.4084;7407989.155;FGA92;4;143.9150781;101;01:41:00;Apr;Guareí;01:41:00
SDApr97;Annona emarginata;19/04/2019 12:51;781662.502;7408068.867;AG104;19/04/2019 14:03;781636.429;7408149.502;FGA93;4;84.73984777;72;01:12:00;Apr;Guareí;01:12:00
SDApr98;Celtis iguanaea;19/04/2019 12:03;781767.023;7407998.595;AG126;19/04/2019 14:03;781636.429;7408149.502;FGA93;1;199.5609133;120;02:00:00;Apr;Guareí;02:00:00
SDApr99;Celtis iguanaea;19/04/2019 12:03;781767.023;7407998.595;AG126;19/04/2019 13:06;781659.5185;7408084.114;FGA94;3;137.3616034;63;01:03:00;Apr;Guareí;01:03:00
SDApr100;Celtis iguanaea;19/04/2019 09:30;781867.1676;7407897.266;AG125;19/04/2019 10:57;781851.4969;7407896.451;FGA95;7;15.69144034;87;01:27:00;Apr;Guareí;01:27:00
SDApr101;Celtis iguanaea;19/04/2019 12:03;781767.023;7407998.595;AG126;19/04/2019 13:27;781662.0595;7408125.963;FGA96;1;165.0368783;84;01:24:00;Apr;Guareí;01:24:00
SDApr101;Celtis iguanaea;19/04/2019 12:03;781767.023;7407998.595;AG126;19/04/2019 13:27;781662.0595;7408125.963;FGA96;7;165.0368783;84;01:24:00;Apr;Guareí;01:24:00
SDApr102;Celtis iguanaea;19/04/2019 11:55;781767.023;7407998.595;AG126;19/04/2019 12:35;781713.5312;7408041.517;FGA97;3;68.58065689;40;00:40:00;Apr;Guareí;00:40:00
SDApr103;Celtis iguanaea;19/04/2019 10:23;781867.1676;7407897.266;AG125;19/04/2019 11:46;781782.3226;7407948.211;FGA98;1;98.96669187;83;01:23:00;Apr;Guareí;01:23:00
SDApr104;Celtis iguanaea;19/04/2019 12:03;781767.023;7407998.595;AG126;20/04/2019 08:52;781784.6667;7408118.629;FGA101;5;121.320746;1249;20:49:00;Apr;Guareí;20:49:00
SDApr105;Celtis iguanaea;20/04/2019 10:08;781815.7427;7407967.963;AG119;20/04/2019 10:48;781868.2416;7407926.945;NA;NA;NA;NA;NA;NA;Guareí;00:40:00
SDApr106;Celtis iguanaea;20/04/2019 10:35;781867.5986;7407946.575;AG106;20/04/2019 11:39;781876.459;7407923.128;FGA102;4;66.61884193;40;00:40:00;Apr;Guareí;01:04:00
SDApr107;Celtis iguanaea;20/04/2019 10:51;781867.2557;7407917.99;AG75;20/04/2019 11:58;781876.459;7407923.128;FGA103;5;25.06794966;64;01:04:00;Apr;Guareí;01:07:00
SDApr108;Celtis iguanaea;20/04/2019 10:51;781867.2557;7407917.99;AG75;20/04/2019 12:01;781876.459;7407923.128;FGA104;8;10.53848186;67;01:07:00;Apr;Guareí;01:10:00
SDApr109;Celtis iguanaea;20/04/2019 10:51;781867.2557;7407917.99;AG75;20/04/2019 12:03;781863.7963;7407924.485;FGA105;2;10.53848186;70;01:10:00;Apr;Guareí;01:12:00
SDApr110;Celtis iguanaea;20/04/2019 10:51;781867.2557;7407917.99;AG75;20/04/2019 12:11;781867.2557;7407917.99;FGA106;4;7.354705977;72;01:12:00;Apr;Guareí;01:20:00
SDApr111;Celtis iguanaea;20/04/2019 12:06;781863.5356;7407921.164;AG77;20/04/2019 12:13;781853.9991;7407920.12;NA;NA;NA;7;00:07:00;Apr;Guareí;00:07:00
SDApr112;Celtis iguanaea;20/04/2019 12:06;781863.5356;7407921.164;AG77;20/04/2019 12:13;781853.9991;7407920.12;FGA107;6;0;80;01:20:00;Apr;Guareí;00:07:00
SDApr113;Celtis iguanaea;20/04/2019 12:06;781863.5356;7407921.164;AG77;20/04/2019 12:18;781859.8503;7407921.235;FGA108;9;9.596520203;7;00:07:00;Apr;Guareí;00:12:00
SDApr114;Celtis iguanaea;20/04/2019 12:06;781863.5356;7407921.164;AG77;20/04/2019 12:33;781834.7757;7407877.485;FGA108;12;9.596520203;7;00:07:00;Apr;Guareí;00:27:00
SDApr115;Celtis iguanaea;20/04/2019 12:06;781863.5356;7407921.164;AG77;20/04/2019 12:34;781840.0057;7407878.388;FGA109;14;3.690663897;12;00:12:00;Apr;Guareí;00:28:00
SDApr116;Celtis iguanaea;20/04/2019 12:06;781863.5356;7407921.164;AG77;20/04/2019 12:42;781819.2112;7407871.465;FGA110;9;52.29799231;27;00:27:00;Apr;Guareí;00:36:00
SDApr117;Celtis iguanaea;20/04/2019 12:06;781863.5356;7407921.164;AG77;20/04/2019 12:55;781775.7748;7407841.268;FGA111;6;48.81530293;28;00:28:00;Apr;Guareí;00:49:00
SDApr118;Celtis iguanaea;20/04/2019 12:06;781863.5356;7407921.164;AG77;20/04/2019 13:04;781747.1682;7407773.32;FGA112;4;66.5901269;36;00:36:00;Apr;Guareí;00:58:00
SDApr119;Celtis iguanaea;20/04/2019 12:06;781863.5356;7407921.164;AG77;20/04/2019 13:17;781730.231;7407743.498;FGA113;4;118.6843924;49;00:49:00;Apr;Guareí;01:11:00
SDApr120;Celtis iguanaea;20/04/2019 12:06;781863.5356;7407921.164;AG77;20/04/2019 13:23;781757.5579;7407717.706;FGA114;2;188.1452697;58;00:58:00;Apr;Guareí;01:17:00
SDApr121;Celtis iguanaea;20/04/2019 12:06;781863.5356;7407921.164;AG77;20/04/2019 13:28;781767.6653;7407711.409;FGA115;2;222.1140061;71;01:11:00;Apr;Guareí;01:22:00
SDApr122;Celtis iguanaea;20/04/2019 12:06;781863.5356;7407921.164;AG77;20/04/2019 13:41;781785.8279;7407644.898;FGA116;3;229.3984806;77;01:17:00;Apr;Guareí;01:35:00
SDMay1;Celtis iguanaea;13/05/2019 16:24;781867.1676;7407897.266;AG125;14/05/2019 07:00;781961.7205;7407889.026;FGM1;1;94.9083774;876;07:00:00;May;Guareí;14:36:00
SDMay1;Celtis iguanaea;13/05/2019 16:24;781867.1676;7407897.266;AG125;14/05/2019 07:00;781961.7205;7407889.026;FGM1;2;94.9083774;876;07:00:00;May;Guareí;14:36:00
SDMay1;Celtis iguanaea;13/05/2019 16:24;781867.1676;7407897.266;AG125;14/05/2019 07:00;781961.7205;7407889.026;FGM1;0;94.9083774;876;07:00:00;May;Guareí;14:36:00
SDMay2;Celtis iguanaea;13/05/2019 16:24;781867.1676;7407897.266;AG125;14/05/2019 07:03;781953.2421;7407889.514;FGM2;5;86.41910958;879;07:03:00;May;Guareí;14:39:00
SDMay2;Celtis iguanaea;13/05/2019 16:24;781867.1676;7407897.266;AG125;14/05/2019 07:03;781953.2421;7407889.514;FGM2;0;86.41910958;879;07:03:00;May;Guareí;14:39:00
SDMay3;Celtis iguanaea;13/05/2019 16:24;781867.1676;7407897.266;AG125;14/05/2019 07:04;781953.2421;7407889.514;FGM3;4;86.41910958;880;07:04:00;May;Guareí;14:40:00
