x	y	point	species
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781900.9598	7407889.456		
781937.0448	7407880.906		
781969.8024	7407899.62	DG03	
781969.8024	7407899.62	DG03	
781969.8024	7407899.62		
781960.9968	7407889		
781960.9968	7407857		
781953.9968	7407827		
781965.9968	7407799		
781937.9968	7407753		
781920.9968	7407724		
781874.9968	7407725		
781808.9968	7407712		
781767.9968	7407678		
781786.5882	7407711.493	AG131	Syagrus romanzoffiana
781786.5882	7407711.493	AG131	Syagrus romanzoffiana
781786.5882	7407711.493	AG131	Syagrus romanzoffiana
781792.9968	7407737		
781780.9968	7407746		
781782.9968	7407744		
781793.9968	7407735		
781775.9968	7407710		
781774.9968	7407680		
781777.9968	7407674		
781778.9968	7407671		
781783.9968	7407652		
781770.9968	7407652		
781737.9968	7407631		
781753.9021	7407633.757	AG164	Syagrus romanzoffiana
781753.9021	7407633.757	AG164	Syagrus romanzoffiana
781753.9021	7407633.757	AG164	Syagrus romanzoffiana
781753.9021	7407633.757	AG164	Syagrus romanzoffiana
781744.9968	7407631		
781725.9968	7407652		
781773.9968	7407647		
781840.9968	7407671		
781852.9968	7407726		
781850.2742	7407816.459	AG161	Syagrus romanzoffiana
781842.9968	7407815		
781862.9968	7407859		
781866.1781	7407872.452	AG165	Dyospiros inconstans
781866.1781	7407872.452	AG165	Dyospiros inconstans
781881.2073	7407898.873	AG163	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781877.9968	7407894		
781875.9968	7407904		
781873.9968	7407905		
781863.5356	7407921.164	AG77	Celtis iguanaea
781863.5356	7407921.164	AG77	Celtis iguanaea
781863.5356	7407921.164	AG77	Celtis iguanaea
781863.5356	7407921.164	AG77	Celtis iguanaea
781867.5986	7407946.575	AG106	Celtis iguanaea
781867.5986	7407946.575	AG106	Celtis iguanaea
781867.5986	7407946.575	AG106	Celtis iguanaea
781859.2589	7407954.384	AG166	Celtis iguanaea
781859.2589	7407954.384	AG166	Celtis iguanaea
781859.2589	7407954.384	AG166	Celtis iguanaea
781859.2589	7407954.384	AG166	Celtis iguanaea
781866.9968	7407960		
781867.9968	7407957		
781863.9968	7407972		
781882.9968	7407980		
781883.9968	7407978		
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781885.9968	7407997		
781901.9968	7407995		
