ticks day timestep x y energy status action
 225 3 9 781800.15 7407580.68 62 "hungry" "on feeding tree" 
 226 3 10 781800.15 7407580.68 65 "hungry" "on feeding tree" 
 227 3 11 781800.15 7407580.68 68 "hungry" "on feeding tree" 
 228 3 12 781789.26 7407564.14 66 "hungry" "search feeding tree" 
 229 3 13 781789.26 7407564.14 64 "hungry" "on feeding tree" 
 230 3 14 781789.26 7407564.14 67 "hungry" "on feeding tree" 
 231 3 15 781800.15 7407580.68 65 "hungry" "search feeding tree" 
 232 3 16 781800.15 7407580.68 63 "hungry" "on feeding tree" 
 233 3 17 781800.15 7407580.68 66 "hungry" "on feeding tree" 
 234 3 18 781800.15 7407580.68 69 "hungry" "on feeding tree" 
 235 3 19 781812.09 7407596.48 67 "hungry" "search feeding tree" 
 236 3 20 781812.09 7407596.48 65 "hungry" "on feeding tree" 
 237 3 21 781812.09 7407596.48 68 "hungry" "on feeding tree" 
 238 3 22 781812.09 7407596.48 71 "hungry" "on feeding tree" 
 239 3 23 781824.04 7407612.27 69 "hungry" "search feeding tree" 
 240 3 24 781824.04 7407612.27 67 "hungry" "on feeding tree" 
 241 3 25 781824.04 7407612.27 70 "hungry" "on feeding tree" 
 242 3 26 781824.04 7407612.27 73 "hungry" "on feeding tree" 
 243 3 27 781812.09 7407596.48 71 "hungry" "search feeding tree" 
 244 3 28 781812.09 7407596.48 69 "hungry" "on feeding tree" 
 245 3 29 781812.09 7407596.48 72 "hungry" "on feeding tree" 
 246 3 30 781812.09 7407596.48 75 "hungry" "on feeding tree" 
 247 3 31 781812.09 7407596.48 78 "hungry" "on feeding tree" 
 248 3 32 781824.04 7407612.27 76 "hungry" "search feeding tree" 
 249 3 33 781824.04 7407612.27 74 "hungry" "on feeding tree" 
 250 3 34 781824.04 7407612.27 77 "hungry" "on feeding tree" 
 251 3 35 781824.04 7407612.27 80 "hungry" "on feeding tree" 
 252 3 36 781812.09 7407596.48 78 "hungry" "search feeding tree" 
 253 3 37 781812.09 7407596.48 76 "hungry" "on feeding tree" 
 254 3 38 781809.44 7407616.1 74 "hungry" "search feeding tree" 
 255 3 39 781809.44 7407616.1 72 "hungry" "on feeding tree" 
 256 3 40 781809.44 7407616.1 75 "hungry" "on feeding tree" 
 257 3 41 781809.44 7407616.1 78 "hungry" "on feeding tree" 
 258 3 42 781812.09 7407596.48 76 "hungry" "search feeding tree" 
 259 3 43 781812.09 7407596.48 74 "hungry" "on feeding tree" 
 260 3 44 781812.09 7407596.48 77 "hungry" "on feeding tree" 
 261 3 45 781812.09 7407596.48 80 "hungry" "on feeding tree" 
 262 3 46 781824.04 7407612.27 78 "hungry" "search feeding tree" 
 263 3 47 781824.04 7407612.27 76 "hungry" "on feeding tree" 
 264 3 48 781824.04 7407612.27 79 "hungry" "on feeding tree" 
 265 3 49 781812.09 7407596.48 77 "hungry" "search feeding tree" 
 266 3 50 781812.09 7407596.48 75 "hungry" "on feeding tree" 
 267 3 51 781812.09 7407596.48 78 "hungry" "on feeding tree" 
 268 3 52 781812.09 7407596.48 81 "hungry" "on feeding tree" 
 269 3 53 781824.04 7407612.27 79 "hungry" "search feeding tree" 
 270 3 54 781824.04 7407612.27 77 "hungry" "on feeding tree" 
 271 3 55 781812.09 7407596.48 75 "hungry" "search feeding tree" 
 272 3 56 781812.09 7407596.48 73 "hungry" "on feeding tree" 
 273 3 57 781824.04 7407612.27 71 "hungry" "search feeding tree" 
 274 3 58 781824.04 7407612.27 69 "hungry" "on feeding tree" 
 275 3 59 781804.57 7407615.89 67 "hungry" "search feeding tree" 
 276 3 60 781804.57 7407615.89 65 "hungry" "on feeding tree" 
 277 3 61 781804.57 7407615.89 68 "hungry" "on feeding tree" 
 278 3 62 781804.57 7407615.89 71 "hungry" "on feeding tree" 
 279 3 63 781824.04 7407612.27 69 "hungry" "search feeding tree" 
 280 3 64 781824.04 7407612.27 67 "hungry" "on feeding tree" 
 281 3 65 781824.04 7407612.27 70 "hungry" "on feeding tree" 
 282 3 66 781824.04 7407612.27 73 "hungry" "on feeding tree" 
 283 3 67 781804.57 7407615.89 71 "hungry" "search feeding tree" 
 284 3 68 781804.57 7407615.89 69 "hungry" "on feeding tree" 
 285 3 69 781804.57 7407615.89 72 "hungry" "on feeding tree" 
 286 3 70 781804.57 7407615.89 75 "hungry" "on feeding tree" 
 287 3 71 781824.04 7407612.27 73 "hungry" "search feeding tree" 
 288 3 72 781824.04 7407612.27 71 "hungry" "on feeding tree" 
 289 3 73 781824.04 7407612.27 74 "hungry" "on feeding tree" 
 290 3 74 781812.09 7407596.48 72 "hungry" "search feeding tree" 
 291 3 75 781812.09 7407596.48 70 "hungry" "on feeding tree" 
 292 3 76 781812.09 7407596.48 73 "hungry" "on feeding tree" 
 293 3 77 781824.04 7407612.27 71 "hungry" "search feeding tree" 
 294 3 78 781824.04 7407612.27 69 "hungry" "on feeding tree" 
 295 3 79 781812.09 7407596.48 67 "hungry" "search feeding tree" 
 296 3 80 781812.09 7407596.48 65 "hungry" "on feeding tree" 
 297 3 81 781824.04 7407612.27 63 "hungry" "search feeding tree" 
 298 3 82 781824.04 7407612.27 61 "hungry" "on feeding tree" 
 299 3 83 781824.04 7407612.27 64 "hungry" "on feeding tree" 
 300 3 84 781812.09 7407596.48 62 "hungry" "search feeding tree" 
